annee;date_decl;ville_stat;N_INSEE;nom_chev;race;age;sexe;Utilisation;hve1;hvesp;WN;cas;decl,
2012;24.01.2012;MARCHEMAISONS;61251;ELIOTT_MC;98;3;3;5;0;0;0;0;1,
2011;24.02.2011;FONTENAY_SOUS_BOIS;94033;EDEN_ALEST;97;18;2;4;1;0;0;1;1,
2006;24.03.2006;SAINT_LO;50502;QUILIANE_DE_TAUTE;97;2;1;3;NA;NA;NA;0;1,
2011;24.03.2011;ALEMBON;62020;VINCI;37;2;NA;4;0;0;0;0;1,
2011;24.03.2011;LE_MESNIL_MAUGER;14422;N09_SHENDAYA;90;2;1;2;0;1;0;1;1,
2009;24.04.2009;SAINT_AUBIN_DE_SCELLON;27512;KOPPELIA;97;NA;1;3;0;NA;0;0;1,
2012;24.07.2012;CANTELEU;76157;MISTY;NA;2;11;4;0;1;NA;1;1,
2007;24.08.2007;FONTANIL_CORNILLON;38170;DOMINO;NA;21;1;4;0;NA;NA;0;1,
2012;24.09.2012;SAINT_GERMAIN_EN_LAYE;78551;MIKADO;18;2;NA;1;1;0;3;1;1,
2010;24.12.2010;ENNERY;95211;HONEYMOON;97;15;1;5;1;0;NA;1;1,
2011;24.12.2011;JEUXEY (NA);88253;GIPSY;NA;18;2;1;NA;NA;NA;0;1,
2011;24.12.2011;MAISON_ROUGE;77272;CISKO;NA;1;3;3;0;0;NA;0;1,
2010;25.01.2010;EZANVILLE;95229;FUNICUT;100;17;1;4;0;0;NA;0;1,
2011;25.01.2011;PRETREVILLE;14522;CANTA_CON_ARDOR;90;0.9;3;3;0;1;0;1;1,
2011;25.05.2011;SAINT_GERMAIN_DU_CRIOULT;14585;HERA_DAIRIE;108;16;1;3;0;1;NA;1;1,
2008;25.06.2008;ARGELOS;64043;N/POLLYS_DANCE;NA;NA;NA;NA;0;0;NA;0;1,
2009;25.06.2009;LE_BURGAUD;31093;TOULOUSE_EN_TOP;118;NA;3;3;0;NA;0;0;1,
2007;25.09.2007;BOISSY_SAINT_LEGER;94004;PINK_JIEL;108;4;1;5;0;0;NA;0;1,
2007;25.09.2007;NOUVOITOU;35204;PERLINE;18;4;1;4;NA;NA;NA;0;1,
2010;25.10.2010;JURQUES;14347;LANCIA;80;11;1;4;0;0;NA;0;1,
2006;25.11.2006;CHALIFERT;77075;POUNKY;18;6;2;1;0;0;NA;0;1,
2010;25.11.2010;CHEMAZE;53066;CASCADA;90;2;1;NA;0;NA;0;0;1,
2010;25.11.2010;LAMORLAYE;60346;BELLA_BRENTANA;54;5;1;3;0;NA;0;0;1,
2009;26.01.2009;TORCY;77468;EMIR_DU_COCHET;10;17;2;1;1;0;0;1;1,
2011;26.01.2011;BEC_DE_MORTAGNE;76068;CALANGA;NA;NA;NA;1;0;0;0;0;1,
2012;26.01.2012;TREGLONOU;29290;ROHIRRIM_LOMIG;108;2;6;5;0;0;0;0;1,
2009;26.04.2009;BIONVILLE_SUR_NIED;57085;KURTA;97;33;1;6;0;0;0;0;1,
2011;26.04.2011;AUFFARGIS;78030;ATHOS;NA;1;3;3;NA;NA;NA;0;1,
2011;26.04.2011;SAINT_MARTIN_DE_BOSCHERVILLE;76614;TAIWAN;86;4;1;1;0;0;0;0;1,
2011;26.04.2011;TOURGEVILLE;14701;ALABAMA;NA;NA;1;3;0;0;0;0;1,
2010;26.07.2010;GRETZ_ARMANVILLIERS;77215;HIGHLANDER;97;16;2;2;0;0;0;0;1,
2006;26.08.2006;CONCHES_SUR_GONDOIRE;77124;BOLERO;75;15;2;4;0;0;NA;0;1,
2007;26.08.2007;BRIZAY;37040;ORION;49;12;1;5;0;NA;NA;0;1,
2009;26.08.2009;FORGES_LES_EAUX;76276;GENIPHON;108;5;2;6;0;1;0;1;1,
2010;26.08.2010;TONNOY;54527;QUALITY_MOUSSE;10;NA;NA;4;0;0;0;0;1,
2011;26.09.2011;RIGNAC;12199;RIGNAC_BOY;116;6;2;1;0;0;0;0;1,
2012;26.10.2012;SAINT_LEGER_EN_YVELINES;78562;GOLD;NA;2;18;1;NA;NA;NA;0;1,
2009;27.02.2009;CREHANGE;57159;IZNOGOUD;16;13;2;4;NA;NA;NA;0;1,
2012;27.02.2012;ACQUEVILLE;50001;NIKITA_DU_VAL;108;1;11;3;0;1;0;1;1,
2012;27.04.2012;MAGNE;79162;BREEZER;NA;NA;NA;5;0;0;0;0;1,
2011;27.05.2011;NEUFMOUTIERS_EN_BRIE;77336;EL_LENA_SKEETS;92;4;1;5;0;0;0;0;1,
2011;27.05.2011;NEUFMOUTIERS_EN_BRIE;77336;LIL_GRAYS_FRECKLES;92;4;1;5;0;1;0;1;1,
2011;27.06.2011;AMPLEPUIS;69006;THE_FOR_TWO;97;4;1;2;0;NA;0;0;1,
2012;27.06.2012;LA_REORTHE;85188;KALINKA;69;1;14;4;0;0;0;0;1,
2012;27.06.2012;STE_PEXINE;85261;C_KACIA;97;3;0.2;3;NA;NA;0;0;1,
2009;27.07.2009;BOSROBERT;27095;RIQUETTE;90;6;1;3;0;1;NA;1;1,
2010;27.07.2010;PONTCHATEAU;44129;GEPETTO;100;18;2;4;0;0;0;0;1,
2011;27.07.2011;ENTRAIGUES_SUR_LA_SORGUE;84043;GALLO_DEL_SAIL;92;6;3;2;0;NA;1;1;1,
2011;27.09.2011;REIMS;51454;QUININE;NA;6;1;4;0;0;0;0;1,
2006;27.11.2006;MONTIGNY_SUR_LOING;77312;WINNER;75;NA;1;5;0;NA;NA;0;1,
2009;27.11.2009;VAUVERT;30341;POLY;75;25;2;4;0;NA;1;1;1,
2010;27.12.2010;ENNERY;95211;MFUL;90;7;2;1;1;0;NA;1;1,
2011;28.01.2011;ACHERES_LA_FORET;77001;QUIABAICHI_MONTROYER;97;7;2;1;0;0;NA;0;1,
2007;28.03.2007;TAUXIGNY;37254;BETTY;118;30;1;1;0;NA;NA;0;1,
2011;28.03.2011;MAINCY;77269;BLUE_BEAR_BD_BOTTON;76;1;3;3;0;1;0;1;1,
2011;28.03.2011;ROUHLING;57598;PRINCE;108;30;2;4;0;0;0;0;1,
2009;28.05.2009;JUILLY;77241;ORAS_PARCK;108;7;2;1;0;1;0;1;1,
2010;28.09.2010;LA_SAUVETAT_DE_SAVERES;47289;PEGASE;75;18;2;4;0;0;0;0;1,
2011;28.10.2011;OGY;57523;VIOLETTE;59;23;1;4;NA;NA;0;0;1,
2011;29.03.2011;SAINT_GILLES;30258;ATKA_DES_ISCLES;28;1;1;3;0;NA;NA;0;1,
2007;29.05.2007;BREHAN;56024;LARA_;NA;8;1;3;NA;NA;NA;0;1,
2007;29.05.2007;BREHAN;56024;MARGOTTE;NA;7;1;3;NA;NA;NA;0;1,
2007;29.05.2007;NOUVOITOU;35204;CATHY;18;12;1;4;NA;NA;NA;0;1,
2006;29.06.2006;VAHL_LES_FAULQUEMONT;57686;BAMBINO;75;16;2;4;NA;NA;NA;0;1,
2009;29.07.2009;SAINT_ETIENNE_L_ALLIER_;27538;SWEET_MELODY_;108;3;1;2;0;0;NA;0;1,
2009;29.07.2009;VILLING;57720;CARMEN_;89;11;1;3;0;1;0;1;1,
2007;29.08.2007;EGLY;91207;BELLADONA;NA;NA;NA;NA;NA;NA;NA;0;1,
2011;29.08.2011;NEUVY_AU_HOULME_;61308;VALJEAN_DU_RIB;108;2;3;2;0;1;0;1;1,
2009;29.09.2009;SABRES;40246;GOLDENEYE;11;13;2;4;0;0;0;0;1,
2012;29.10.2012;BARBIZON;77022;GORTROE_LADY;37;1;7;1;0;0;0;0;1,
2012;29.10.2012;BARBIZON;77022;CHURCHTOWN_AVRIL;37;1;3;1;0;0;NA;0;1,
2006;29.11.2006;CLEVILLE;14163;SACHA_JOLIE;108;0.5;1;NA;0;NA;NA;0;1,
2006;29.11.2006;CLEVILLE;14163;PAREVENT;108;3;3;NA;1;NA;NA;1;1,
2006;29.11.2006;PONT_D_OUILLY;14764;LUNA_KYA;90;1;1;3;0;0;NA;0;1,
2011;29.12.2011;BOURSEUL;22014;BELLA;97;0.9;1;3;1;0;0;1;1,
2009;30.01.2009;COULLONS;45108;SUPERSTAR_DE_BALLIERE;97;3;3;2;0;1;0;1;1,
2009;30.01.2009;ROUVROY_EN_SANTERRE;80682;NOVA_SCOTIA;108;8;1;3;0;NA;NA;0;1,
2008;30.05.2008;HEROUVILLETTE;14328;STELLA_DU_CAP_VERT;108;2;1;2;0;NA;NA;0;1,
2009;30.05.2009;ACQUIN;62008;URBINO_D_INGLEBERT;12;1;3;4;0;0;0;0;1,
2008;30.07.2008;BALNOT_LA_GRANGE (VAUDRON);10028;HAIK_DU_BOILA;65;13;2;3;1;NA;NA;1;1,
2012;30.07.2012;OMMEEL;61315;ARLECCHINA;90;1;12;3;1;0;NA;1;1,
2008;30.08.2008;BONNIERES_SUR_SEINE;78089;QUEZAC;18;4;2;1;0;0;0;0;1,
2009;30.08.2009;LA_COCHERE;61110;MOON_BABY;90;11;1;3;1;0;NA;1;1,
2009;30.08.2009;LA_COCHERE;61110;CAPEWORK;90;12;1;3;1;NA;NA;1;1,
2011;30.09.2011;CHATEAUNEUF_LES_MARTIGUES;13026;VEAMER;97;2;3;0;0;0;0;0;1,
2010;30.12.2010;L_ISLE_ADAM;95313;JOYEUSE;97;13;1;5;0;0;NA;0;1,
2010;30.12.2010;L_ISLE_ADAM;95313;LECOR_DU_TONNERE;97;11;2;5;0;0;NA;0;1,
2010;30.12.2010;L_ISLE_ADAM;95313;GRAND_DES_NOUES;97;16;2;5;1;0;NA;1;1,
2010;30.12.2010;L_ISLE_ADAM;95313;IDEAL;97;14;2;NA;1;0;NA;1;1,
2010;30.12.2010;L_ISLE_ADAM;95313;IDYLLE;118;14;1;4;1;0;NA;1;1,
2010;30.12.2010;L_ISLE_ADAM;95313;RASTROJERO;89;8;3;5;1;0;NA;1;1,
2010;30.12.2010;L_ISLE_ADAM;95313;SAKARA_SONTE;110;4;1;4;1;0;NA;1;1,
2010;30.12.2010;L_ISLE_ADAM;95313;TOLBERT;98;10;2;5;1;0;NA;1;1,
2010;30.12.2010;L_ISLE_ADAM;95313;MARINA;97;10;1;4;NA;NA;NA;0;1,
2010;30.12.2010;L_ISLE_ADAM;95313;POPELINE;NA;NA;NA;NA;NA;NA;NA;0;1,
2006;31.01.2006;GUERANDE;44069;JAVA;97;8;1;5;1;0;NA;1;1,
2010;31.03.2010;SABLONNIERES;77398;TOSCAN;116;25;2;4;0;1;0;1;1,
2008;31.07.2008;BLANGY_LE_CHÂTEAU;14077;N_BELLE_D_AUSSY;108;0.3;1;3;0;NA;NA;0;1,
2008;31.07.2008;SAINT_MARTIN_DU_MONT;1374;PRUNELLE;97;5;1;1;0;0;NA;0;1,
2012;31.07.2012;BENQUE;31063;ULTAIA_;NA;1;NA;4;0;1;NA;1;1,
2011;31.08.2011;NUEIL_SUR_LAYON;49232;BAMBOU_DE_NOYAL;108;0.5;3;3;0;1;0;1;1,
2012;31.08.2012;SAINT_PIERRE_DU_PERRAY;91573;REFLET_DE_MAILLOC;NA;NA;NA;1;1;0;3;1;1,
2009;31.10.2009;TREVRON;22380;PRINTEMPS;75;6;2;4;0;1;0;1;1,
2011;31.12.2011;RICHERENCHES;84097;SUKASH;92;7;2;5;NA;NA;0;0;1,
2012;31.12.2012;PLEDRAN;22176;LICORNE;NA;1;NA;3;NA;NA;NA;0;1,
2013;03.01.2013;ILLE SUR TET;66088;BLACK CLOUD ;65;1;2;4;0;1;0;1;1,
2013;08.01.2013;ESPIRA DE L AGLY;66069;SHERKAN;16;15;2;4;0;0;NA;0;1,
2013;08.01.2013;Marcy lEtoile;69127;Alvaro;97;2;3;3;0;0;0;0;1,
2013;09.01.2013;HAMEAU DES CLAUSES MONTSERET;11256;LUZERO;NA;20;2;4;0;0;0;0;1,
2013;14.01.2013;almeneches;61002;bella winner;108;2;1;2;0;NA;NA;0;1,
2013;14.01.2013;LESIGNY;77249;VAN DAMME;86;3;2;1;0;0;0;0;1,
2013;21.01.2013;Saint Augustin;77400;Miel des Rosiers;97;13;2;5;0;0;NA;0;1,
2013;29.01.2013;GRENADE;31232;KIEF;97;15;2;4;0;NA;0;0;1,
2013;29.01.2013;Saint jean de marsacq;40264;Macumba;NA;8;1;1;0;0;NA;0;1,
2013;09.02.2013;malville;44089;ilot de rampan;97;17;2;4;1;1;NA;1;1,
2013;18.02.2013;beaumont du lac;87009;ARVAL;NA;NA;2;3;0;0;NA;0;1,
2013;01.03.2013;TINTRY;71539;FANFAN VILLAUD;97;NA;1;3;0;0;NA;0;1,
2013;06.03.2013;SANARY SUR MER;83123;CANTERA-CAN;89;11;1;3;0;NA;NA;0;1,
2013;25.03.2013;la ferrière bechet;61164;n12 nahema;108;1,5;3;3;0;0;NA;0;1
2013;02.04.2013;PAREMPUYRE;33312;OSCAR;97;11;2;5;0;0;NA;0;1,
2013;03.04.2013;BOUHANS ET FEURG;70080;RADJA DE LA TOUR;97;8;1;4;0;0;0;0;1,
2013;26.04.2013;Bieville Quietieville;14527;MUSE;108;NA;1;3;0;0;0;0;1,
2013;29.04.2013;SAINT CYR BOCAGE;50461;ACTION DELQUE;97;3;1;3;0;0;0;0;1,
2013;29.04.2013;ARS LAQUENEXY;57031;JASMINE;11;15;1;4;0;0;0;0;1,
2013;02.05.2013;lisle sur sorgue;84054;Pilgrim (TINOBLASCO°;90;12;2;1;0;0;NA;0;1,
2013;17.05.2013;SAINT SATURNIN;16348;SPIRIT;86;10;3;1;0;NA;NA;0;1,
2013;23.05.2013;Marcy letoile;69127;Fa Daahlina;12;13;1;3;0;1;NA;1;1,
2013;07.06.2013;PIERRECLOS;71350;BANCO;97;2;3;3;NA;NA;NA;NA;1,
2013;10.06.2013;sarge les le mans;72328;hickory du defey;NA;NA;2;1;0;0;0;0;1,
2013;12.06.2013;NIMES;30939;PHARONE;86;10;1;5;1;1;0;1;1,
2013;12.06.2013;NIMES;30939;Salto des Vergers;10;7;2;5;0;0;0;0;1,
2013;13.06.2013;saint malon sur mel;35290;CARMA DE SAINT JEAN;63;1;1;3;0;0;0;0;1,
2013;21.06.2013;gouville sur mer;50215;jupiter;86;20;2;4;0;0;NA;0;1,
2013;30.06.2013;THEZAN LES BEZIERS;34310;TONANTE;16;13;1;3;0;1;0;1;1,
2013;03.07.2013;Le touquet;62826;jestre de civry;56;16;2;1;0;NA;NA;0;1,
2013;04.07.2013;MONT DE MARSAN;40192;PROVENCAL;90;3;2;2;1;1;0;1;1,
2013;04.07.2013;MONT DE MARSAN;40192;ROOKE;90;3;2;2;0;NA;NA;0;1,
2013;04.07.2013;MONT DE MARSAN;40192;FALKHAIR;90;2;3;2;0;NA;NA;0;1,
2013;04.07.2013;MONT DE MARSAN;40192;ADI CHOP;90;2;3;2;0;NA;NA;0;1,
2013;12.07.2013;gouville sur mer;50215;tina;100;5;1;4;NA;NA;NA;NA;1,
2013;15.07.2013;ROQUEFORT LA BEDOULE;13085;IDEFIX;NA;17;2;4;0;NA;0;0;1,
2013;17.07.2013;CANDILLARGUES;34050;Rebelle;28;NA;1;3;NA;NA;NA;NA;1,
2013;18.07.2013;SONCHAMP;78601;VIVALDI;NA;4;2;4;0;NA;NA;0;1,
2013;22.07.2013;LES EPESSES;85082;NAIO-IA DU PUY DU FOU;63;20;2;4;0;NA;NA;0;1,
2013;22.07.2013;ETRECHY;91226;FALLOUX;NA;NA;2;4;0;0;0;0;1,
2013;23.07.2013;LIZIO;56112;poulain de rocket;NA;0,3;1;3;0;1;0;1;1
2013;23.07.2013;Cuers;83049;Xita;118;10;1;1;0;NA;0;0;1,
2013;24.07.2013;MEOUNES;83077;CHARLY WHITE;NA;NA;2;1;0;1;0;1;1,
2013;05.08.2013;SAINT CALAIS DU DESERT;53204;CELTIC DU BOIS;108;2;3;3;0;0;0;0;1,
2013;05.08.2013;la crau;83047;quark;10;10;2;4;0;0;0;0;1,
2013;12.08.2013;saint genies de malgoires;30255;caline du cypres;28;1;1;3;NA;NA;0;NA;1,
2013;12.08.2013;saint jean de serre;30267;Cailane;91;1;1;3;0;NA;NA;0;1,
2013;14.08.2013;LEGE CAP-FERRET;33236;MALIKA DU TEMPLE;97;12;NA;4;0;1;0;1;1,
2013;16.08.2013;NAGES ET SOLORGUES;30186;SOLITAIRE;NA;29;2;4;NA;NA;0;NA;1,
2013;20.08.2013;Jumilhac;24218;kinetic;116;26;2;NA;NA;NA;NA;NA;1,
2013;20.08.2013;Jumilhac le grand;24218;Graf;54;30;2;NA;NA;NA;NA;NA;1,
2013;24.08.2013;ANCERVILLE;57020;SATINE 2;18;1;NA;4;NA;NA;NA;NA;1,
2013;24.08.2013;WOUSTVILLER;57752;ESPOIR;108;NA;2;4;0;0;0;0;1,
2013;29.08.2013;tarascon;13108;brennus;97;2;3;3;0;1;0;1;1,
2013;09.09.2013;SOISSONS;2722;NELSON CLARY;97;12;2;4;0;1;0;1;1,
2013;11.09.2013;lamentin;97115;ANE;15;1;3;3;0;1;NA;1;1,
2013;13.09.2013;buc;78117;PRINCE DES BOIS;75;NA;2;1;NA;NA;NA;NA;1,
2013;13.09.2013;buc;78117;LOBELIA DE LANDEVES;97;NA;NA;1;NA;NA;NA;NA;1,
2013;22.09.2013;SAINT GILLES;30258;PRINCESSE;10;10;1;2;0;1;0;1;1,
2013;30.09.2013;ROZ LANDRIEUX;35246;VALDESS WINZER;53;5;2;4;1;1;0;1;1,
2013;02.10.2013;plerguer;35224;Myrtille;NA;NA;1;3;0;NA;NA;0;1,
2013;02.10.2013;Maisons Laffitte;78358;Maya;97;14;1;NA;0;0;0;0;1,
2013;15.10.2013;Villemaur sur vannes;10415;TITUS;97;16;2;NA;0;NA;NA;0;1,
2013;15.10.2013;SANRY LES VIGY;57626;QUEEN ;17;NA;1;3;0;NA;0;0;1,
2013;21.10.2013;saint laurent daigouze;30276;alcazar;89;6;2;4;0;0;0;0;1,
2013;23.10.2013;CHAMBERET;19036;Foal Sary;10;0,5;3;3;0;1;0;1;1
2013;07.11.2013;Vigneux de Bretagne;44217;Coquine;97;1;1;4;0;1;NA;1;1,
2013;12.11.2013;Mannevillette;76409;Bellini de Saulieu;96;6;2;NA;0;NA;NA;0;1,
2013;25.11.2013;ALLAN;26005;ROYAL SON GRANIT;37;8;3;3;0;0;0;0;1,
2013;27.11.2013;MURET;31395;ROCK DE LORANE;97;8;2;4;0;NA;NA;0;1,
2013;02.12.2013;Saint Jean Pla de Corts;66178;valasco de Gama;10;25;2;4;0;0;0;0;1,
2013;23.12.2013;st andré de sangonis;34239;cardabelle;5;2;1;4;0;1;0;1;1,
2013;23.12.2013;ARRO;20022;cardabelle;5;2;1;4;0;1;0;1;1,
