year;N_Community;date.x;date_decl;syndrome
2006;711;2006-02-04;04.02.2006;1
2010;1042;2010-11-27;27.11.2010;1
2012;786;2012-01-16;16.01.2012;1
2013;170;2013-03-20;20.03.2013;1
2006;686;2006-09-15;15.09.2006;1
2010;1634;2010-05-12;12.05.2010;1
2012;1576;2012-02-27;27.02.2012;1
2012;1241;2012-10-21;21.10.2012;1
2009;697;2009-05-03;03.05.2009;1
2012;1178;2012-04-07;07.04.2012;1
2011;1108;2011-10-19;19.10.2011;1
2007;1216;2007-06-19;19.06.2007;1
2010;1165;2010-03-24;24.03.2010;1
2009;1398;2009-04-22;22.04.2009;1
2013;580;2013-01-11;11.01.2013;1
2009;561;2009-09-22;22.09.2009;1
2007;1118;2007-01-15;15.01.2007;1
2013;143;2013-09-20;20.09.2013;1
2009;457;2009-07-26;26.07.2009;1
2008;1000;2008-12-13;13.12.2008;1
2009;679;2009-04-06;06.04.2009;1
2006;309;2006-11-16;16.11.2006;1
2011;1446;2011-06-26;26.06.2011;1
2010;197;2010-07-24;24.07.2010;1
2010;1053;2010-01-08;08.01.2010;1
2008;810;2008-04-12;12.04.2008;1
2013;868;2013-05-07;07.05.2013;1
2013;552;2013-03-15;15.03.2013;1
2008;997;2008-03-12;12.03.2008;1
2009;1293;2009-11-21;21.11.2009;1
2007;243;2007-10-18;18.10.2007;1
2010;1338;2010-12-03;03.12.2010;1
2010;1636;2010-09-29;29.09.2010;1
2011;1362;2011-03-21;21.03.2011;1
2006;205;2006-08-20;20.08.2006;1
2006;777;2006-12-01;01.12.2006;1
2007;989;2007-10-31;31.10.2007;1
2009;7;2009-11-20;20.11.2009;1
2007;1619;2007-04-07;07.04.2007;1
2006;272;2006-10-13;13.10.2006;1
2010;283;2010-08-29;29.08.2010;1
2013;1245;2013-05-21;21.05.2013;1
2011;996;2011-04-01;01.04.2011;1
2011;185;2011-12-02;02.12.2011;1
2011;1235;2011-06-05;05.06.2011;1
2013;689;2013-03-20;20.03.2013;1
2012;455;2012-11-30;30.11.2012;1
2012;1063;2012-12-11;11.12.2012;1
2011;1423;2011-07-10;10.07.2011;1
2011;506;2011-08-23;23.08.2011;1
2009;1029;2009-04-19;19.04.2009;1
2008;1668;2008-09-20;20.09.2008;1
2007;701;2007-10-24;24.10.2007;1
2007;190;2007-10-17;17.10.2007;1
2011;1149;2011-03-24;24.03.2011;1
2007;1486;2007-06-14;14.06.2007;1
2008;610;2008-11-28;28.11.2008;1
2006;1583;2006-01-01;01.01.2006;1
2010;474;2010-06-29;29.06.2010;1
2006;1103;2006-01-05;05.01.2006;1
2013;666;2013-10-28;28.10.2013;1
2013;1625;2013-05-25;25.05.2013;1
2013;1401;2013-05-24;24.05.2013;1
2009;699;2009-03-02;02.03.2009;1
2009;877;2009-11-07;07.11.2009;1
2012;1432;2012-06-06;06.06.2012;1
2008;640;2008-09-21;21.09.2008;1
2012;1283;2012-11-28;28.11.2012;1
2008;55;2008-03-27;27.03.2008;1
2009;509;2009-06-24;24.06.2009;1
2006;416;2006-11-20;20.11.2006;1
2010;883;2010-04-26;26.04.2010;1
2008;393;2008-08-05;05.08.2008;1
2007;1681;2007-08-29;29.08.2007;1
2010;1527;2010-01-17;17.01.2010;1
2011;57;2011-06-03;03.06.2011;1
2010;1418;2010-08-29;29.08.2010;1
2012;1596;2012-12-18;18.12.2012;1
2008;264;2008-08-02;02.08.2008;1
2012;174;2012-10-18;18.10.2012;1
2013;1173;2013-09-15;15.09.2013;1
2007;173;2007-03-22;22.03.2007;1
2006;1266;2006-06-21;21.06.2006;1
2012;977;2012-09-07;07.09.2012;1
2008;1542;2008-04-14;14.04.2008;1
2011;257;2011-03-07;07.03.2011;1
2006;516;2006-05-28;28.05.2006;1
2011;839;2011-09-09;09.09.2011;1
2008;770;2008-03-01;01.03.2008;1
2010;81;2010-04-12;12.04.2010;1
2006;1654;2006-08-04;04.08.2006;1
2013;46;2013-11-05;05.11.2013;1
2009;54;2009-09-28;28.09.2009;1
2012;927;2012-09-16;16.09.2012;1
2008;438;2008-04-26;26.04.2008;1
2013;369;2013-06-27;27.06.2013;1
2007;199;2007-07-28;28.07.2007;1
2008;754;2008-07-01;01.07.2008;1
2009;1004;2009-02-27;27.02.2009;1
2011;373;2011-04-28;28.04.2011;1
2012;1426;2012-03-03;03.03.2012;1
2006;490;2006-01-24;24.01.2006;1
2006;332;2006-05-15;15.05.2006;1
2010;1033;2010-10-07;07.10.2010;1
2013;1203;2013-03-26;26.03.2013;1
2007;1634;2007-09-08;08.09.2007;1
2010;228;2010-04-26;26.04.2010;1
2009;1230;2009-10-10;10.10.2009;1
2006;1670;2006-08-12;12.08.2006;1
2010;662;2010-03-27;27.03.2010;1
2013;1226;2013-06-11;11.06.2013;1
2006;1134;2006-05-10;10.05.2006;1
2012;862;2012-01-07;07.01.2012;1
2010;908;2010-12-11;11.12.2010;1
2007;1029;2007-07-31;31.07.2007;1
2006;1041;2006-12-15;15.12.2006;1
2013;1677;2013-07-07;07.07.2013;1
2010;484;2010-08-25;25.08.2010;1
2012;956;2012-02-14;14.02.2012;1
2011;571;2011-11-04;04.11.2011;1
2012;430;2012-03-12;12.03.2012;1
2012;713;2012-11-30;30.11.2012;1
2011;1276;2011-09-25;25.09.2011;1
2008;881;2008-09-06;06.09.2008;1
2013;635;2013-06-04;04.06.2013;1
2007;478;2007-04-03;03.04.2007;1
2010;118;2010-05-26;26.05.2010;1
2007;455;2007-11-22;22.11.2007;1
2009;355;2009-12-01;01.12.2009;1
2012;1126;2012-10-07;07.10.2012;1
2008;56;2008-08-07;07.08.2008;1
2012;944;2012-03-12;12.03.2012;1
2009;464;2009-02-25;25.02.2009;1
2013;18;2013-01-29;29.01.2013;1
2010;1447;2010-02-11;11.02.2010;1
2008;1056;2008-01-14;14.01.2008;1
2009;136;2009-04-27;27.04.2009;1
2006;486;2006-01-13;13.01.2006;1
2011;562;2011-08-30;30.08.2011;1
2010;1078;2010-07-23;23.07.2010;1
2007;1111;2007-06-20;20.06.2007;1
2007;383;2007-07-05;05.07.2007;1
2009;440;2009-12-02;02.12.2009;1
2006;942;2006-12-02;02.12.2006;1
2013;846;2013-12-08;08.12.2013;1
2011;645;2011-04-24;24.04.2011;1
2013;274;2013-06-24;24.06.2013;1
2011;323;2011-07-02;02.07.2011;1
2013;1548;2013-09-24;24.09.2013;1
2012;478;2012-11-29;29.11.2012;1
2006;1572;2006-07-25;25.07.2006;1
2006;1645;2006-01-20;20.01.2006;1
2009;291;2009-01-02;02.01.2009;1
2007;2;2007-04-04;04.04.2007;1
2007;864;2007-02-19;19.02.2007;1
2009;954;2009-03-20;20.03.2009;1
2012;56;2012-07-10;10.07.2012;1
2010;977;2010-08-06;06.08.2010;1
2009;929;2009-11-06;06.11.2009;1
2007;1333;2007-05-15;15.05.2007;1
2008;826;2008-09-08;08.09.2008;1
2007;1659;2007-01-31;31.01.2007;1
2010;851;2010-03-10;10.03.2010;1
2007;1277;2007-03-07;07.03.2007;1
2008;502;2008-10-30;30.10.2008;1
2009;1289;2009-01-13;13.01.2009;1
2010;1198;2010-04-26;26.04.2010;1
2012;39;2012-09-05;05.09.2012;1
2009;785;2009-05-23;23.05.2009;1
2011;430;2011-03-24;24.03.2011;1
2007;1034;2007-08-11;11.08.2007;1
2010;1064;2010-10-23;23.10.2010;1
2006;1258;2006-07-16;16.07.2006;1
2007;1390;2007-08-31;31.08.2007;1
2013;1111;2013-07-31;31.07.2013;1
2007;557;2007-10-25;25.10.2007;1
2009;820;2009-11-30;30.11.2009;1
2006;1290;2006-10-19;19.10.2006;1
2012;312;2012-08-18;18.08.2012;1
2006;207;2006-07-16;16.07.2006;1
2007;230;2007-04-15;15.04.2007;1
2011;325;2011-10-25;25.10.2011;1
2008;1475;2008-11-05;05.11.2008;1
2008;1626;2008-01-26;26.01.2008;1
2007;1406;2007-11-21;21.11.2007;1
2007;1453;2007-11-16;16.11.2007;1
2012;1095;2012-01-04;04.01.2012;1
2010;675;2010-06-15;15.06.2010;1
2011;1076;2011-03-12;12.03.2011;1
2009;1447;2009-05-20;20.05.2009;1
2007;395;2007-08-11;11.08.2007;1
2008;1152;2008-03-14;14.03.2008;1
2012;446;2012-10-11;11.10.2012;1
2012;1553;2012-04-17;17.04.2012;1
2011;182;2011-07-03;03.07.2011;1
2007;865;2007-12-24;24.12.2007;1
2008;356;2008-07-07;07.07.2008;1
2007;1117;2007-12-13;13.12.2007;1
2008;67;2008-04-15;15.04.2008;1
2013;215;2013-01-25;25.01.2013;1
2011;680;2011-12-27;27.12.2011;1
2009;907;2009-09-04;04.09.2009;1
2008;1228;2008-05-01;01.05.2008;1
2008;1480;2008-08-24;24.08.2008;1
2010;781;2010-08-29;29.08.2010;1
2006;997;2006-07-20;20.07.2006;1
2006;144;2006-04-15;15.04.2006;1
2012;1230;2012-05-02;02.05.2012;1
2008;244;2008-04-28;28.04.2008;1
2006;1229;2006-06-17;17.06.2006;1
2007;950;2007-11-09;09.11.2007;1
2008;1287;2008-06-15;15.06.2008;1
2006;814;2006-01-05;05.01.2006;1
2007;1118;2007-10-15;15.10.2007;1
2012;422;2012-10-29;29.10.2012;1
2010;675;2010-01-21;21.01.2010;1
2006;1309;2006-12-25;25.12.2006;1
2006;1008;2006-01-01;01.01.2006;1
2007;795;2007-03-10;10.03.2007;1
2011;427;2011-03-06;06.03.2011;1
2013;689;2013-02-14;14.02.2013;1
2012;227;2012-10-16;16.10.2012;1
2011;1258;2011-09-22;22.09.2011;1
2013;659;2013-05-03;03.05.2013;1
2012;97;2012-05-08;08.05.2012;1
2013;210;2013-11-06;06.11.2013;1
2006;22;2006-06-08;08.06.2006;1
2006;870;2006-11-17;17.11.2006;1
2012;520;2012-07-20;20.07.2012;1
2008;283;2008-11-20;20.11.2008;1
2013;1010;2013-03-30;30.03.2013;1
2009;1621;2009-10-15;15.10.2009;1
2008;1223;2008-12-23;23.12.2008;1
2010;1560;2010-04-02;02.04.2010;1
2011;249;2011-09-07;07.09.2011;1
2012;1661;2012-07-21;21.07.2012;1
2009;1262;2009-02-09;09.02.2009;1
2011;572;2011-01-21;21.01.2011;1
2011;292;2011-06-11;11.06.2011;1
2009;992;2009-09-11;11.09.2009;1
2012;293;2012-04-02;02.04.2012;1
2009;1219;2009-12-20;20.12.2009;1
2013;1616;2013-06-06;06.06.2013;1
2009;290;2009-12-18;18.12.2009;1
2013;1280;2013-08-04;04.08.2013;1
2010;128;2010-08-03;03.08.2010;1
2007;1288;2007-08-12;12.08.2007;1
2009;342;2009-07-22;22.07.2009;1
2008;169;2008-01-23;23.01.2008;1
2010;931;2010-09-25;25.09.2010;1
2013;730;2013-05-18;18.05.2013;1
2010;1653;2010-06-21;21.06.2010;1
2013;1548;2013-03-09;09.03.2013;1
2006;288;2006-05-31;31.05.2006;1
2010;1401;2010-01-28;28.01.2010;1
2010;658;2010-11-05;05.11.2010;1
2009;259;2009-11-10;10.11.2009;1
2007;917;2007-08-01;01.08.2007;1
2013;1397;2013-07-20;20.07.2013;1
2007;1198;2007-11-06;06.11.2007;1
2007;1303;2007-10-27;27.10.2007;1
2013;769;2013-07-27;27.07.2013;1
2013;65;2013-02-02;02.02.2013;1
2010;977;2010-12-28;28.12.2010;1
2010;814;2010-06-01;01.06.2010;1
2009;1128;2009-12-22;22.12.2009;1
2010;321;2010-12-13;13.12.2010;1
2010;705;2010-05-24;24.05.2010;1
2012;833;2012-07-10;10.07.2012;1
2008;1539;2008-04-08;08.04.2008;1
2012;523;2012-01-12;12.01.2012;1
2013;203;2013-03-10;10.03.2013;1
2013;1139;2013-01-09;09.01.2013;1
2009;1376;2009-06-07;07.06.2009;1
2011;1313;2011-04-07;07.04.2011;1
2012;780;2012-05-31;31.05.2012;1
2006;1294;2006-03-13;13.03.2006;1
2013;103;2013-04-21;21.04.2013;1
2009;217;2009-10-30;30.10.2009;1
2009;576;2009-12-10;10.12.2009;1
2012;185;2012-02-09;09.02.2012;1
2013;451;2013-11-29;29.11.2013;1
2010;249;2010-12-16;16.12.2010;1
2006;333;2006-12-07;07.12.2006;1
2013;286;2013-04-18;18.04.2013;1
2013;456;2013-01-29;29.01.2013;1
2011;49;2011-08-06;06.08.2011;1
2009;30;2009-04-13;13.04.2009;1
2010;1322;2010-12-02;02.12.2010;1
2010;651;2010-07-02;02.07.2010;1
2013;1644;2013-01-12;12.01.2013;1
2006;250;2006-05-08;08.05.2006;1
2006;1098;2006-05-07;07.05.2006;1
2008;1068;2008-09-01;01.09.2008;1
2009;375;2009-04-11;11.04.2009;1
2010;1562;2010-01-18;18.01.2010;1
2010;64;2010-11-03;03.11.2010;1
2010;70;2010-03-09;09.03.2010;1
2008;221;2008-10-06;06.10.2008;1
2007;859;2007-12-28;28.12.2007;1
2007;96;2007-12-31;31.12.2007;1
2011;1340;2011-05-03;03.05.2011;1
2007;870;2007-09-30;30.09.2007;1
2006;118;2006-09-27;27.09.2006;1
2013;1192;2013-05-06;06.05.2013;1
2009;196;2009-02-04;04.02.2009;1
2006;801;2006-08-26;26.08.2006;1
2007;239;2007-09-30;30.09.2007;1
2006;449;2006-09-06;06.09.2006;1
2010;1195;2010-08-26;26.08.2010;1
2009;1256;2009-10-06;06.10.2009;1
2013;664;2013-03-31;31.03.2013;1
2008;541;2008-11-12;12.11.2008;1
2007;709;2007-05-15;15.05.2007;1
2007;620;2007-07-25;25.07.2007;1
2010;413;2010-02-02;02.02.2010;1
2008;1575;2008-02-11;11.02.2008;1
2006;1387;2006-04-10;10.04.2006;1
2012;1283;2012-12-04;04.12.2012;1
2008;935;2008-09-08;08.09.2008;1
2010;237;2010-12-15;15.12.2010;1
2010;1159;2010-06-08;08.06.2010;1
2007;314;2007-05-31;31.05.2007;1
2006;881;2006-12-19;19.12.2006;1
2010;27;2010-01-01;01.01.2010;1
2012;483;2012-06-04;04.06.2012;1
2006;778;2006-06-13;13.06.2006;1
2013;1018;2013-05-11;11.05.2013;1
2010;301;2010-07-25;25.07.2010;1
2013;889;2013-05-29;29.05.2013;1
2009;635;2009-01-22;22.01.2009;1
2011;85;2011-04-14;14.04.2011;1
2007;696;2007-09-28;28.09.2007;1
2009;1505;2009-12-31;31.12.2009;1
2006;799;2006-06-16;16.06.2006;1
2008;522;2008-11-22;22.11.2008;1
2013;240;2013-09-27;27.09.2013;1
2009;504;2009-02-08;08.02.2009;1
2006;1561;2006-05-27;27.05.2006;1
2006;1027;2006-08-29;29.08.2006;1
2012;1171;2012-05-23;23.05.2012;1
2006;1357;2006-09-23;23.09.2006;1
2007;52;2007-12-24;24.12.2007;1
2009;1156;2009-06-05;05.06.2009;1
2009;62;2009-02-27;27.02.2009;1
2010;1309;2010-11-21;21.11.2010;1
2007;955;2007-05-01;01.05.2007;1
2010;41;2010-07-23;23.07.2010;1
2010;1220;2010-01-07;07.01.2010;1
2011;269;2011-09-01;01.09.2011;1
2006;1595;2006-05-09;09.05.2006;1
2006;178;2006-09-20;20.09.2006;1
2010;1523;2010-09-23;23.09.2010;1
2006;751;2006-04-21;21.04.2006;1
2012;198;2012-03-21;21.03.2012;1
2007;920;2007-02-15;15.02.2007;1
2007;1468;2007-02-05;05.02.2007;1
2010;414;2010-01-05;05.01.2010;1
2011;1128;2011-10-26;26.10.2011;1
2006;664;2006-11-11;11.11.2006;1
2012;303;2012-07-08;08.07.2012;1
2012;1572;2012-03-22;22.03.2012;1
2012;736;2012-06-11;11.06.2012;1
2011;709;2011-03-01;01.03.2011;1
2008;759;2008-09-24;24.09.2008;1
2007;1213;2007-02-11;11.02.2007;1
2009;1043;2009-11-24;24.11.2009;1
2009;1242;2009-03-02;02.03.2009;1
2011;467;2011-01-03;03.01.2011;1
2011;1316;2011-06-26;26.06.2011;1
2010;1495;2010-04-03;03.04.2010;1
2010;782;2010-05-28;28.05.2010;1
2011;538;2011-07-11;11.07.2011;1
2008;563;2008-12-18;18.12.2008;1
2007;1517;2007-01-08;08.01.2007;1
2009;613;2009-09-13;13.09.2009;1
2008;924;2008-10-24;24.10.2008;1
2012;931;2012-12-27;27.12.2012;1
2008;1478;2008-09-21;21.09.2008;1
2006;1527;2006-01-12;12.01.2006;1
2006;1573;2006-06-08;08.06.2006;1
2009;357;2009-09-22;22.09.2009;1
2011;1679;2011-07-28;28.07.2011;1
2009;787;2009-09-05;05.09.2009;1
2008;278;2008-05-30;30.05.2008;1
2011;1032;2011-03-19;19.03.2011;1
2012;411;2012-07-28;28.07.2012;1
2011;843;2011-01-16;16.01.2011;1
2010;1159;2010-03-31;31.03.2010;1
2013;84;2013-06-11;11.06.2013;1
2006;984;2006-05-12;12.05.2006;1
2012;1614;2012-03-02;02.03.2012;1
2007;729;2007-03-13;13.03.2007;1
2008;635;2008-12-12;12.12.2008;1
2012;1377;2012-09-26;26.09.2012;1
2006;1561;2006-07-23;23.07.2006;1
2008;567;2008-08-08;08.08.2008;1
2013;1610;2013-08-17;17.08.2013;1
2006;1617;2006-05-24;24.05.2006;1
2013;469;2013-07-21;21.07.2013;1
2007;766;2007-10-16;16.10.2007;1
2009;1467;2009-04-05;05.04.2009;1
2012;1212;2012-10-30;30.10.2012;1
2013;718;2013-05-13;13.05.2013;1
2008;1075;2008-10-16;16.10.2008;1
2006;989;2006-09-18;18.09.2006;1
2009;1307;2009-02-09;09.02.2009;1
2009;292;2009-06-11;11.06.2009;1
2013;1007;2013-01-10;10.01.2013;1
2011;1148;2011-08-30;30.08.2011;1
2007;629;2007-09-24;24.09.2007;1
2010;32;2010-03-16;16.03.2010;1
2011;1110;2011-10-27;27.10.2011;1
2007;1277;2007-11-20;20.11.2007;1
2010;738;2010-10-15;15.10.2010;1
2009;736;2009-12-14;14.12.2009;1
2011;890;2011-05-20;20.05.2011;1
2010;206;2010-09-14;14.09.2010;1
2011;1302;2011-07-15;15.07.2011;1
2013;1429;2013-10-29;29.10.2013;1
2011;912;2011-10-10;10.10.2011;1
2006;1098;2006-09-05;05.09.2006;1
2008;186;2008-04-16;16.04.2008;1
2011;166;2011-12-23;23.12.2011;1
2011;582;2011-02-19;19.02.2011;1
2010;149;2010-03-11;11.03.2010;1
2011;770;2011-07-02;02.07.2011;1
2010;667;2010-06-27;27.06.2010;1
2010;707;2010-09-28;28.09.2010;1
2007;858;2007-08-29;29.08.2007;1
2006;1597;2006-12-01;01.12.2006;1
2013;1057;2013-04-30;30.04.2013;1
2007;1395;2007-12-31;31.12.2007;1
2011;19;2011-12-18;18.12.2011;1
2010;236;2010-03-16;16.03.2010;1
2007;39;2007-12-23;23.12.2007;1
2007;1439;2007-12-31;31.12.2007;1
2008;922;2008-12-13;13.12.2008;1
2012;114;2012-09-04;04.09.2012;1
2007;88;2007-12-26;26.12.2007;1
2011;1028;2011-06-11;11.06.2011;1
2009;407;2009-10-20;20.10.2009;1
2012;1600;2012-08-12;12.08.2012;1
2013;795;2013-05-10;10.05.2013;1
2006;380;2006-12-12;12.12.2006;1
2008;1326;2008-12-13;13.12.2008;1
2012;499;2012-10-29;29.10.2012;1
2006;412;2006-04-08;08.04.2006;1
2012;1097;2012-03-02;02.03.2012;1
2010;438;2010-02-24;24.02.2010;1
2013;131;2013-10-10;10.10.2013;1
2006;984;2006-07-02;02.07.2006;1
2006;957;2006-09-11;11.09.2006;1
2011;23;2011-10-02;02.10.2011;1
2006;644;2006-12-24;24.12.2006;1
2008;1499;2008-01-29;29.01.2008;1
2009;505;2009-08-30;30.08.2009;1
2006;612;2006-05-06;06.05.2006;1
2008;729;2008-10-01;01.10.2008;1
2012;918;2012-01-07;07.01.2012;1
2012;994;2012-10-27;27.10.2012;1
2012;1051;2012-09-07;07.09.2012;1
2007;965;2007-01-23;23.01.2007;1
2006;984;2006-05-09;09.05.2006;1
2008;1261;2008-01-17;17.01.2008;1
2010;1400;2010-05-04;04.05.2010;1
2011;855;2011-07-29;29.07.2011;1
2006;533;2006-10-24;24.10.2006;1
2011;1475;2011-10-29;29.10.2011;1
2008;1631;2008-08-18;18.08.2008;1
2013;1532;2013-09-20;20.09.2013;1
2006;316;2006-07-23;23.07.2006;1
2006;40;2006-09-15;15.09.2006;1
2009;1241;2009-05-06;06.05.2009;1
2008;1054;2008-01-28;28.01.2008;1
2010;627;2010-12-30;30.12.2010;1
2008;134;2008-07-17;17.07.2008;1
2006;777;2006-11-13;13.11.2006;1
2006;1408;2006-03-18;18.03.2006;1
2006;257;2006-12-26;26.12.2006;1
2012;1415;2012-09-02;02.09.2012;1
2009;78;2009-02-08;08.02.2009;1
2012;842;2012-08-19;19.08.2012;1
2007;1314;2007-12-17;17.12.2007;1
2013;1364;2013-08-21;21.08.2013;1
2012;110;2012-08-18;18.08.2012;1
2008;159;2008-10-19;19.10.2008;1
2010;213;2010-03-14;14.03.2010;1
2013;172;2013-06-30;30.06.2013;1
2012;37;2012-03-18;18.03.2012;1
2009;1392;2009-05-29;29.05.2009;1
2008;1561;2008-08-28;28.08.2008;1
2009;1395;2009-02-09;09.02.2009;1
2009;1027;2009-03-11;11.03.2009;1
2011;187;2011-07-19;19.07.2011;1
2008;1540;2008-07-27;27.07.2008;1
2009;1632;2009-12-18;18.12.2009;1
2006;33;2006-11-08;08.11.2006;1
2013;122;2013-03-09;09.03.2013;1
2006;567;2006-04-07;07.04.2006;1
2008;1275;2008-07-10;10.07.2008;1
2009;871;2009-10-13;13.10.2009;1
2007;1271;2007-10-02;02.10.2007;1
2012;1095;2012-05-22;22.05.2012;1
2009;1114;2009-09-13;13.09.2009;1
2011;517;2011-07-30;30.07.2011;1
2006;65;2006-12-02;02.12.2006;1
2008;1288;2008-07-11;11.07.2008;1
2009;529;2009-04-04;04.04.2009;1
2012;450;2012-10-21;21.10.2012;1
2012;210;2012-05-27;27.05.2012;1
2010;1002;2010-01-14;14.01.2010;1
2007;937;2007-10-31;31.10.2007;1
2013;815;2013-03-21;21.03.2013;1
2011;1504;2011-08-06;06.08.2011;1
2010;1677;2010-05-31;31.05.2010;1
2007;1042;2007-11-26;26.11.2007;1
